file,sec,rows,cols,ymin,ymax,nyr,dot,brk,nan_pct,name
Edu_Mt467.xls,Edu,82,16,,,0,99,0,56,表 467 最近本省教育概況
Edu_Mt468.xls,Edu,61,31,1899.0,1944.0,46,259,0,22,表 468 歷年全省學校及員生數
Edu_Mt469.xls,Edu,27,41,1928.0,1944.0,17,285,2,33,表 469 歷年大學教育概況
Edu_Mt470.xls,Edu,152,12,1899.0,1944.0,46,287,0,27,表 470 歷年專門教育概況
Edu_Mt471.xls,Edu,61,12,1899.0,1944.0,46,141,0,21,表 471 歷年師範教育概況
Edu_Mt472.xls,Edu,157,17,1904.0,1945.0,42,332,0,44,表 472 歷年中學教育概況
Edu_Mt473.xls,Edu,166,12,1912.0,1944.0,33,296,0,28,表 473 歷年實業教育概況
Edu_Mt474.xls,Edu,118,32,1899.0,1944.0,46,691,0,19,表 474 歷年國民學校概況
Edu_Mt475.xls,Edu,35,12,1922.0,1944.0,23,34,0,29,表 475 歷年盲啞學校概況
Edu_Mt476.xls,Edu,55,12,1899.0,1944.0,46,80,0,13,表 476 歷年特種學校概況
Edu_Mt477.xls,Edu,50,6,1899.0,1939.0,41,3,0,14,表 477 歷年私塾概況
Edu_Mt478.xls,Edu,49,22,1904.0,1944.0,41,204,0,17,表 478 歷年幼稚保育概況
Edu_Mt479.xls,Edu,41,6,1914.0,1945.0,32,34,0,17,表 479 歷年山地教育所概況
Edu_Mt480.xls,Edu,46,8,1904.0,1942.0,39,9,0,11,表 480 歷年圖書館一覽
Edu_Mt481.xls,Edu,71,13,1917.0,1943.0,27,0,0,20,表 481 歷年學齡兒童
Edu_Mt482.xls,Edu,47,67,1922.0,1944.0,23,492,0,43,表 482 歷年各種學校學生投考人數及入學人數
Edu_Mt483.xls,Edu,57,10,1922.0,1942.0,21,54,0,21,表 483 歷年學齡兒童盲聾啞人數
Hygiene_Mt484.xls,Hygiene,54,26,1897.0,1942.0,46,126,4,25,表 484 歷年衛生機關及衛生人員
Hygiene_Mt485.xls,Hygiene,47,11,1905.0,1942.0,38,35,0,16,表 485 歷年省立醫院診療病人及日數
Hygiene_Mt486.xls,Hygiene,42,7,1905.0,1940.0,36,15,0,11,表 486 歷年公醫診療病人及日數
Hygiene_Mt487-1.xls,Hygiene,29,14,1910.0,1930.0,21,0,0,22,表 487-1 歷年省立醫院住院人數按疾病種類之分配 (民國前二年至民國十九年)
Hygiene_Mt487-2.xls,Hygiene,165,23,1931.0,1942.0,12,321,13,26,表 487-2 歷年省立醫院住院人數按疾病種類之分配 (民國二十年至民國三十一年)
Hygiene_Mt488.xls,Hygiene,153,20,1905.0,1942.0,38,18,13,37,表 488 歷年省立醫院門診人數按疾病種類之分配
Hygiene_Mt489.xls,Hygiene,197,24,1897.0,1940.0,44,98,13,39,表 489 歷年公醫診療人數按疾病種類之分配
Hygiene_Mt490.xls,Hygiene,55,37,1897.0,1942.0,46,655,12,20,表 490 歷年法定傳染病患者及死亡數
Hygiene_Mt491.xls,Hygiene,53,13,1897.0,1942.0,46,165,1,15,表 491 歷年法定傳染病死亡率
Hygiene_Mt492.xls,Hygiene,58,16,1900.0,1940.0,41,60,0,41,表 492 歷年海港檢疫受檢船隻及人數
Hygiene_Mt493.xls,Hygiene,65,13,1897.0,1942.0,46,28,0,24,表 493 歷年佈種牛痘人數
Hygiene_Mt494.xls,Hygiene,53,11,1897.0,1942.0,46,82,0,9,表 494 歷年娼妓受檢人數
Hygiene_Mt495.xls,Hygiene,44,7,1905.0,1942.0,38,50,0,10,表 495 歷年自來水道數及用水人口
Hygiene_Mt496.xls,Hygiene,140,16,,,0,247,0,11,表 496 本省自來水道概況
Hygiene_Mt497.xls,Hygiene,29,13,1921.0,1942.0,22,49,0,20,表 497 歷年主要自來水道配水量
Hygiene_Mt498.xls,Hygiene,29,13,1921.0,1942.0,22,50,0,20,表 498 歷年主要自來水道一日平均配水量
Welfare_Mt499.xls,Welfare,51,20,1900.0,1942.0,43,125,0,13,表 499 歷年貧民救濟人數及金額
Welfare_Mt500.xls,Welfare,54,28,1900.0,1942.0,43,733,0,17,表 500 歷年貧民救濟人數按原因之分配
Welfare_Mt501.xls,Welfare,50,19,1901.0,1942.0,42,10,0,13,表 501 歷年救護行旅病人數
Welfare_Mt502.xls,Welfare,48,18,1904.0,1942.0,39,80,0,14,表 502 歷年救護行旅病人費用及其關係者還款數
Welfare_Mt503.xls,Welfare,50,10,1900.0,1942.0,43,74,0,10,表 503 歷年行旅死亡人數
Welfare_Mt504.xls,Welfare,52,18,1900.0,1942.0,42,146,3,14,表 504 歷年行旅死亡人所用費用及其關係者還款數
Welfare_Mt505.xls,Welfare,45,12,1907.0,1945.0,39,10,0,10,表 505 歷年紅十字會會員人數
Welfare_Mt506.xls,Welfare,43,16,1912.0,1944.0,33,44,2,24,表 506 歷年紅十字會醫院診療病人數
Welfare_Mt507.xls,Welfare,42,28,1909.0,1942.0,34,49,9,29,表 507 歷年各地廟宇
Welfare_Mt508.xls,Welfare,30,55,1923.0,1942.0,20,154,0,28,表 508 歷年各地寺院及所屬僧侶佈教師與信徒
Welfare_Mt509.xls,Welfare,29,21,1923.0,1942.0,20,41,0,25,表 509 歷年寺院所屬佈教師及信徒按宗派之分配
Welfare_Mt510.xls,Welfare,54,8,1898.0,1942.0,45,46,0,14,表 510 歷年佛教傳道機關及所屬佈教師與信徒
Welfare_Mt511.xls,Welfare,53,29,1898.0,1942.0,45,390,0,12,表 511 歷年佛教說教所所屬佈教師及信徒按宗派之分配
Welfare_Mt512.xls,Welfare,54,8,1898.0,1942.0,45,12,0,14,表 512 歷年基督教傳道機關及所屬佈教師與信徒
Welfare_Mt513.xls,Welfare,49,27,1903.0,1942.0,40,461,0,15,表 513 歷年基督教說教所所屬佈教師及信徒按教派之分配
Welfare_Mt514.xls,Welfare,54,8,1898.0,1942.0,45,65,0,14,表 514 歷年神道教傳道機關及所屬佈教師與信徒
Welfare_Mt515.xls,Welfare,49,23,1903.0,1942.0,40,357,0,15,表 515 歷年神道教說教所所屬佈教師與信徒按教派之分配
