year,Education,Hygiene,Welfare,Total
1895,0,0,0,0
1896,0,0,0,0
1897,0,6,0,6
1898,0,6,4,10
1899,6,6,4,16
1900,6,7,8,21
1901,6,7,9,22
1902,6,7,9,22
1903,6,7,11,24
1904,9,7,12,28
1905,9,11,12,32
1906,9,11,12,32
1907,9,11,13,33
1908,9,11,13,33
1909,9,11,14,34
1910,9,12,14,35
1911,9,12,14,35
1912,10,12,15,37
1913,10,12,15,37
1914,11,12,15,38
1915,11,12,15,38
1916,11,12,15,38
1917,12,12,15,39
1918,12,12,15,39
1919,12,12,15,39
1920,12,12,15,39
1921,12,14,15,41
1922,15,14,15,44
1923,15,14,17,46
1924,15,14,17,46
1925,15,14,17,46
1926,15,14,17,46
1927,15,14,17,46
1928,16,14,17,47
1929,16,14,17,47
1930,16,14,17,47
1931,16,14,17,47
1932,16,14,17,47
1933,16,14,17,47
1934,16,14,17,47
1935,16,14,17,47
1936,16,14,17,47
1937,16,14,17,47
1938,16,14,17,47
1939,16,14,17,47
1940,15,14,17,46
1941,15,11,17,43
1942,15,11,17,43
1943,13,0,2,15
1944,12,0,2,14
1945,2,0,1,3
