file,section,section_label,col,bottom_label,upper_fragments,CORRECT_dim1,CORRECT_dim2,note
Edu_Mt467,1,1.高等教育(1),,,,,,"EXCLUDED — cross-section, no year rows"
Edu_Mt467,2,2.中等教育(1)(2),,,,,,"EXCLUDED — cross-section, no year rows"
Edu_Mt467,3,3.國民教育,,,,,,"EXCLUDED — cross-section, no year rows"
Edu_Mt467,4,4.社會教育,,,,,,"EXCLUDED — cross-section, no year rows"
Edu_Mt468,1,,2.0,校數,大,大學,校數,machine-proposed; needs human check
Edu_Mt468,1,,3.0,教員數,,大學,教員數,machine-proposed; needs human check
Edu_Mt468,1,,4.0,學生數,學,大學,學生數,machine-proposed; needs human check
Edu_Mt468,1,,5.0,校數,專門學校,專門學校,校數,machine-proposed; needs human check
Edu_Mt468,1,,6.0,教員數,,專門學校,教員數,machine-proposed; needs human check
Edu_Mt468,1,,7.0,學生數,,專門學校,學生數,machine-proposed; needs human check
Edu_Mt468,1,,8.0,校數,師範學校,師範學校,校數,machine-proposed; needs human check
Edu_Mt468,1,,9.0,教員數,,師範學校,教員數,machine-proposed; needs human check
Edu_Mt468,1,,10.0,學生數,,師範學校,學生數,machine-proposed; needs human check
Edu_Mt468,1,,11.0,校數,中等學校(2),中等學校(2),校數,machine-proposed; needs human check
Edu_Mt468,1,,12.0,教員數,,中等學校(2),教員數,machine-proposed; needs human check
Edu_Mt468,1,,13.0,學生數,,中等學校(2),學生數,machine-proposed; needs human check
Edu_Mt468,1,,14.0,校數,職業學校(3),職業學校(3),校數,machine-proposed; needs human check
Edu_Mt468,1,,15.0,教員數,,職業學校(3),教員數,machine-proposed; needs human check
Edu_Mt468,1,,16.0,學生數,,職業學校(3),學生數,machine-proposed; needs human check
Edu_Mt468,1,,17.0,校數,國民學校,國民學校,校數,machine-proposed; needs human check
Edu_Mt468,1,,18.0,教員數,,國民學校,教員數,machine-proposed; needs human check
Edu_Mt468,1,,19.0,學生數,,國民學校,學生數,machine-proposed; needs human check
Edu_Mt468,1,,20.0,校數,盲啞學校,盲啞學校,校數,machine-proposed; needs human check
Edu_Mt468,1,,21.0,教員數,,盲啞學校,教員數,machine-proposed; needs human check
Edu_Mt468,1,,22.0,學生數,,盲啞學校,學生數,machine-proposed; needs human check
Edu_Mt468,1,,23.0,校數,特種學校,特種學校,校數,machine-proposed; needs human check
Edu_Mt468,1,,24.0,教員數,,特種學校,教員數,machine-proposed; needs human check
Edu_Mt468,1,,25.0,學生數,,特種學校,學生數,machine-proposed; needs human check
Edu_Mt468,1,,26.0,校數,私,私塾,校數,machine-proposed; needs human check
Edu_Mt468,1,,27.0,教員數,,私塾,教員數,machine-proposed; needs human check
Edu_Mt468,1,,28.0,學生數,塾,私塾,學生數,machine-proposed; needs human check
Edu_Mt468,1,,29.0,校數,幼,幼稚園,校數,machine-proposed; needs human check
Edu_Mt468,1,,30.0,教員數,稚,幼稚園,教員數,machine-proposed; needs human check
Edu_Mt468,1,,31.0,學生數,園,幼稚園,學生數,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),2.0,共計,教,教員,共計,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),3.0,本省人,,教員,本省人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),4.0,日本人,,教員,日本人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),5.0,其他,員,教員,其他,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),6.0,共計,總,學生·總計,共計,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),7.0,本省人,學,學生·總計,本省人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),8.0,日本人,,學生·總計,日本人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),9.0,其他,計,學生·總計,其他,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),10.0,共計,文,學生·文政學部,共計,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),11.0,本省人,政,學生·文政學部,本省人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),12.0,日本人,學,學生·文政學部,日本人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),13.0,其他,部,學生·文政學部,其他,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),14.0,共計,理,學生·理學部(2),共計,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),15.0,本省人,學,學生·理學部(2),本省人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),16.0,日本人,部,學生·理學部(2),日本人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),17.0,其他,(2),學生·理學部(2),其他,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),18.0,共計,農,學生·農學部(2),共計,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),19.0,本省人,學,學生·農學部(2),本省人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),20.0,日本人,部,學生·農學部(2),日本人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),21.0,其他,(2),學生·農學部(2),其他,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),22.0,共計,醫,學生·醫學部,共計,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),23.0,本省人,學,學生·醫學部,本省人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),24.0,日本人,,學生·醫學部,日本人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),25.0,其他,部,學生·醫學部,其他,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),26.0,共計,工,學生·工學部,共計,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),27.0,本省人,學,學生·工學部,本省人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),28.0,日本人,生,學生·工學部,日本人,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),29.0,其他,部,學生·工學部,其他,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),30.0,總數,年度中學生異動／入,年度中學生異動·入學,總數,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),31.0,文政學部,,年度中學生異動·入學,文政學部,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),32.0,理學部,,年度中學生異動·入學,理學部,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),33.0,農學部,,年度中學生異動·入學,農學部,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),34.0,醫學部,,年度中學生異動·入學,醫學部,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),35.0,工學部,學,年度中學生異動·入學,工學部,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),36.0,總數,畢,年度中學生異動·畢業,總數,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),37.0,文政學部,,年度中學生異動·畢業,文政學部,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),38.0,理學部,,年度中學生異動·畢業,理學部,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),39.0,農學部,,年度中學生異動·畢業,農學部,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),40.0,醫學部,,年度中學生異動·畢業,醫學部,machine-proposed; needs human check
Edu_Mt469,1,1.臺北帝國大學(1),41.0,工學部,業,年度中學生異動·畢業,工學部,machine-proposed; needs human check
Edu_Mt470,1,1.臺中農林專門學校(1),2.0,共計,教,教員,共計,machine-proposed; needs human check
Edu_Mt470,1,1.臺中農林專門學校(1),3.0,本省人,,教員,本省人,machine-proposed; needs human check
Edu_Mt470,1,1.臺中農林專門學校(1),4.0,日本人,,教員,日本人,machine-proposed; needs human check
Edu_Mt470,1,1.臺中農林專門學校(1),5.0,其他,員,教員,其他,machine-proposed; needs human check
Edu_Mt470,1,1.臺中農林專門學校(1),6.0,共計,學,學生,共計,machine-proposed; needs human check
Edu_Mt470,1,1.臺中農林專門學校(1),7.0,本省人,,學生,本省人,machine-proposed; needs human check
Edu_Mt470,1,1.臺中農林專門學校(1),8.0,日本人,,學生,日本人,machine-proposed; needs human check
Edu_Mt470,1,1.臺中農林專門學校(1),9.0,其他,生,學生,其他,machine-proposed; needs human check
Edu_Mt470,1,1.臺中農林專門學校(1),10.0,入學,年度中學生異動,年度中學生異動,入學,machine-proposed; needs human check
Edu_Mt470,1,1.臺中農林專門學校(1),11.0,畢業,,年度中學生異動,畢業,machine-proposed; needs human check
