table_id,year,period_type,dim1,dim2,value,flag,src_row,src_col
Mt468,1899,fiscal_year_end,大,校數,,missing_dot,7,2
Mt468,1899,fiscal_year_end,大,教員數,,missing_dot,7,3
Mt468,1899,fiscal_year_end,學,學生數,,missing_dot,7,4
Mt468,1899,fiscal_year_end,專門學校,校數,1.0,,7,5
Mt468,1899,fiscal_year_end,專門學校,教員數,10.0,,7,6
Mt468,1899,fiscal_year_end,專門學校,學生數,69.0,,7,7
Mt468,1899,fiscal_year_end,師範學校,校數,1.0,,7,8
Mt468,1899,fiscal_year_end,師範學校,教員數,24.0,,7,9
Mt468,1899,fiscal_year_end,師範學校,學生數,171.0,,7,10
Mt468,1899,fiscal_year_end,中等學校(2),校數,,missing_dot,7,11
Mt468,1899,fiscal_year_end,中等學校(2),教員數,,missing_dot,7,12
Mt468,1899,fiscal_year_end,中等學校(2),學生數,,missing_dot,7,13
Mt468,1899,fiscal_year_end,職業學校(3),校數,,missing_dot,7,14
Mt468,1899,fiscal_year_end,職業學校(3),教員數,,missing_dot,7,15
Mt468,1899,fiscal_year_end,職業學校(3),學生數,,missing_dot,7,16
Mt468,1899,fiscal_year_end,國民學校,校數,103.0,,7,17
Mt468,1899,fiscal_year_end,國民學校,教員數,359.0,,7,18
Mt468,1899,fiscal_year_end,國民學校,學生數,10295.0,,7,19
Mt468,1899,fiscal_year_end,盲啞學校,校數,,missing_dot,7,20
Mt468,1899,fiscal_year_end,盲啞學校,教員數,,missing_dot,7,21
Mt468,1899,fiscal_year_end,盲啞學校,學生數,,missing_dot,7,22
Mt468,1899,fiscal_year_end,特種學校,校數,6.0,,7,23
Mt468,1899,fiscal_year_end,特種學校,教員數,33.0,,7,24
Mt468,1899,fiscal_year_end,特種學校,學生數,781.0,,7,25
Mt468,1899,fiscal_year_end,私,校數,1421.0,,7,26
Mt468,1899,fiscal_year_end,私,教員數,1421.0,,7,27
Mt468,1899,fiscal_year_end,塾,學生數,25215.0,,7,28
Mt468,1899,fiscal_year_end,幼,校數,,missing_dot,7,29
Mt468,1899,fiscal_year_end,稚,教員數,,missing_dot,7,30
Mt468,1899,fiscal_year_end,園,學生數,,missing_dot,7,31
Mt468,1900,fiscal_year_end,大,校數,,missing_dot,8,2
Mt468,1900,fiscal_year_end,大,教員數,,missing_dot,8,3
Mt468,1900,fiscal_year_end,學,學生數,,missing_dot,8,4
Mt468,1900,fiscal_year_end,專門學校,校數,1.0,,8,5
Mt468,1900,fiscal_year_end,專門學校,教員數,11.0,,8,6
Mt468,1900,fiscal_year_end,專門學校,學生數,89.0,,8,7
Mt468,1900,fiscal_year_end,師範學校,校數,1.0,,8,8
Mt468,1900,fiscal_year_end,師範學校,教員數,27.0,,8,9
Mt468,1900,fiscal_year_end,師範學校,學生數,195.0,,8,10
Mt468,1900,fiscal_year_end,中等學校(2),校數,,missing_dot,8,11
Mt468,1900,fiscal_year_end,中等學校(2),教員數,,missing_dot,8,12
Mt468,1900,fiscal_year_end,中等學校(2),學生數,,missing_dot,8,13
Mt468,1900,fiscal_year_end,職業學校(3),校數,,missing_dot,8,14
Mt468,1900,fiscal_year_end,職業學校(3),教員數,,missing_dot,8,15
